Iteration, Deposit, Amount
325, 1800.00, 3214113.37
326, 1804.00, 3254486.73
327, 1808.00, 3295348.57
328, 1812.00, 3336704.75
329, 1816.00, 3378561.21
330, 1820.00, 3420923.95
331, 1824.00, 3463799.03
332, 1828.00, 3507192.62
333, 1832.00, 3551110.93
334, 1836.00, 3595560.26
335, 1840.00, 3640546.99
336, 1844.00, 3686077.55
337, 1848.00, 3732158.48
338, 1852.00, 3778796.38
339, 1856.00, 3825997.94
340, 1860.00, 3873769.92
341, 1864.00, 3922119.16
342, 1868.00, 3971052.58
343, 1872.00, 4020577.22
344, 1876.00, 4070700.14
345, 1880.00, 4121428.54
346, 1884.00, 4172769.69
347, 1888.00, 4224730.92
348, 1892.00, 4277319.69
349, 1896.00, 4330543.53
350, 1900.00, 4384410.05
351, 1904.00, 4438926.97
352, 1908.00, 4494102.10
353, 1912.00, 4549943.32
354, 1916.00, 4606458.64
355, 1920.00, 4663656.15
356, 1924.00, 4721544.02
357, 1928.00, 4780130.55
358, 1932.00, 4839424.11
359, 1936.00, 4899433.20
360, 1940.00, 4960166.40
